key,value
"Residence/Home",132199
"Highway/Road/Alley/Street/Sidewalk",51418
"Parking/Drop Lot/Garage",12869
"Other/Unknown",7043
"Bar/Nightclub",4524
"Hotel/Motel/Etc.",3174
"Jail/Prison/Penitentiary/Corrections Facility",2505
"Convenience Store",2398
"School-Elementary/Secondary",2291
"Restaurant",2208
"Park/Playground",1827
"Service/Gas Station",1636
"Field/Woods",1612
"Drug Store/Doctor's Office/Hospital",1598
"Commercial/Office Building",1093
"Department/Discount Store",1089
"Government/Public Building",1063
"School/College",846
"Specialty Store",748
"Grocery/Supermarket",701
"Air/Bus/Train Terminal",456
"School-College/University",336
"Church/Synagogue/Temple/Mosque",300
"Liquor Store",291
"Camp/Campground",242
"Lake/Waterway/Beach",234
"Rental Storage Facility",189
"Shelter-Mission/Homeless",164
"Construction Site",149
"Shopping Mall",146
"Bank/Savings and Loan",142
"Rest Area",136
"Industrial Site",115
"Arena/Stadium/Fairgrounds/Coliseum",102
"Abandoned/Condemned Structure",99
"Daycare Facility",86
"Auto Dealership New/Used",81
"Community Center",74
"Gambling Facility/Casino/Race Track",48
"Farm Facility",34
"Dock/Wharf/Freight/Modal Terminal",18
"Amusement Park",17
"Tribal Lands",16
"ATM Separate from Bank",13
"Military Installation",5
"Cyberspace",0
"Not Specified",0
