key,value
"Destruction/Damage/Vandalism of Property",13811
"Weapon Law Violations",8682
"Simple Assault",7932
"Drug/Narcotic Violations",3534
"Burglary/Breaking & Entering",3382
"Kidnapping/Abduction",2834
"All Other Larceny",1666
"Drug Equipment Violations",1604
"Intimidation",1287
"Robbery",871
"Motor Vehicle Theft",793
"Shoplifting",645
"Theft From Building",499
"Murder and Nonnegligent Manslaughter",457
"Stolen Property Offenses",447
"Theft From Motor Vehicle",382
"Arson",267
"Criminal Sexual Contact",222
"False Pretenses/Swindle/Confidence Game",153
"Impersonation",112
"Counterfeiting/Forgery",90
"Rape",67
"Pocket-picking",60
"Purse-snatching",45
"Credit Card/Automated Teller Machine Fraud",38
"Theft of Motor Vehicle Parts or Accessories",38
"Extortion/Blackmail",29
"Pornography/Obscene Material",23
"Statutory Rape",22
"Bribery",18
"Sexual Assault With An Object",15
"Prostitution",11
"Animal Cruelty",10
"Sodomy",10
"Assisting or Promoting Prostitution",9
"Identity Theft",7
"Negligent Manslaughter",7
"Human Trafficking, Commercial Sex Acts",4
"Incest",4
"Embezzlement",3
"Gambling Equipment Violation",3
"Theft From Coin-Operated Machine or Device",3
"Purchasing Prostitution",1
"Wire Fraud",1
"Aggravated Assault",0
"All Other Offenses",0
"Bad Checks",0
"Betting/Wagering",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"Failure to Register as a Sex Offender",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Liquor Offenses",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Flight to Avoid Prosecution",0
"Hacking/Computer Invasion",0
"Harboring Escapee/Concealing from Arrest",0
"Human Trafficking, Involuntary Servitude",0
"Illegal Entry into the United States",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Money Laundering",0
"Not Specified",0
"Operating/Promoting/Assisting Gambling",0
"Peeping Tom",0
"Perjury",0
"Re-entry after Deportation",0
"Runaway",0
"Smuggling Aliens",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Welfare Fraud",0
"Wildlife Trafficking",0
