key,value
"Residence/Home",116975
"Highway/Road/Alley/Street/Sidewalk",42157
"Parking/Drop Lot/Garage",10634
"Other/Unknown",6311
"Bar/Nightclub",5035
"Hotel/Motel/Etc.",2580
"Jail/Prison/Penitentiary/Corrections Facility",2084
"Convenience Store",1925
"School-Elementary/Secondary",1912
"Restaurant",1645
"Field/Woods",1607
"Drug Store/Doctor's Office/Hospital",1364
"Service/Gas Station",1267
"Park/Playground",1204
"School/College",1112
"Government/Public Building",981
"Commercial/Office Building",894
"Department/Discount Store",893
"Grocery/Supermarket",614
"Specialty Store",520
"Air/Bus/Train Terminal",411
"Church/Synagogue/Temple/Mosque",302
"School-College/University",263
"Liquor Store",260
"Lake/Waterway/Beach",209
"Camp/Campground",165
"Rental Storage Facility",160
"Bank/Savings and Loan",144
"Rest Area",134
"Construction Site",121
"Shelter-Mission/Homeless",117
"Shopping Mall",79
"Industrial Site",78
"Arena/Stadium/Fairgrounds/Coliseum",63
"Auto Dealership New/Used",51
"Community Center",47
"Daycare Facility",47
"Gambling Facility/Casino/Race Track",45
"Abandoned/Condemned Structure",35
"Farm Facility",30
"Amusement Park",24
"Dock/Wharf/Freight/Modal Terminal",22
"ATM Separate from Bank",11
"Tribal Lands",9
"Military Installation",1
"Cyberspace",0
"Not Specified",0
