key,value
"White",120502
"Black or African American",74800
"Unknown",5678
"American Indian or Alaska Native",1931
"Asian",1603
"Native Hawaiian or Other Pacific Islander",28
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
