key,value
"White",100275
"Black or African American",78595
"Unknown",11510
"Not Specified",9635
"American Indian or Alaska Native",2205
"Asian",1405
"Native Hawaiian or Other Pacific Islander",28
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
