key,value
"Destruction/Damage/Vandalism of Property",10883
"Simple Assault",7170
"Weapon Law Violations",6643
"Burglary/Breaking & Entering",2938
"Drug/Narcotic Violations",2627
"Kidnapping/Abduction",2116
"All Other Larceny",1391
"Drug Equipment Violations",1164
"Intimidation",1044
"Robbery",774
"Shoplifting",570
"Motor Vehicle Theft",535
"Theft From Building",439
"Murder and Nonnegligent Manslaughter",353
"Stolen Property Offenses",316
"Theft From Motor Vehicle",268
"Arson",206
"Criminal Sexual Contact",176
"False Pretenses/Swindle/Confidence Game",129
"Impersonation",100
"Rape",69
"Counterfeiting/Forgery",67
"Pocket-picking",49
"Theft of Motor Vehicle Parts or Accessories",38
"Credit Card/Automated Teller Machine Fraud",21
"Statutory Rape",18
"Extortion/Blackmail",17
"Purse-snatching",17
"Assisting or Promoting Prostitution",15
"Pornography/Obscene Material",14
"Sodomy",14
"Prostitution",13
"Incest",9
"Embezzlement",7
"Negligent Manslaughter",7
"Bribery",6
"Sexual Assault With An Object",6
"Purchasing Prostitution",2
"Welfare Fraud",2
"Betting/Wagering",1
"Gambling Equipment Violation",1
"Human Trafficking, Commercial Sex Acts",1
"Operating/Promoting/Assisting Gambling",1
"Theft From Coin-Operated Machine or Device",1
"Aggravated Assault",0
"All Other Offenses",0
"Animal Cruelty",0
"Bad Checks",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"Failure to Register as a Sex Offender",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Liquor Offenses",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Flight to Avoid Prosecution",0
"Hacking/Computer Invasion",0
"Harboring Escapee/Concealing from Arrest",0
"Human Trafficking, Involuntary Servitude",0
"Identity Theft",0
"Illegal Entry into the United States",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Money Laundering",0
"Not Specified",0
"Peeping Tom",0
"Perjury",0
"Re-entry after Deportation",0
"Runaway",0
"Smuggling Aliens",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Wildlife Trafficking",0
"Wire Fraud",0
