key,value
"Destruction/Damage/Vandalism of Property",10770
"Simple Assault",7000
"Weapon Law Violations",5648
"Burglary/Breaking & Entering",3040
"Drug/Narcotic Violations",2537
"Kidnapping/Abduction",2022
"All Other Larceny",1336
"Intimidation",1088
"Drug Equipment Violations",1070
"Robbery",811
"Shoplifting",505
"Motor Vehicle Theft",470
"Theft From Building",432
"Murder and Nonnegligent Manslaughter",362
"Stolen Property Offenses",279
"Theft From Motor Vehicle",230
"Arson",212
"Criminal Sexual Contact",185
"False Pretenses/Swindle/Confidence Game",163
"Impersonation",88
"Rape",71
"Counterfeiting/Forgery",51
"Pocket-picking",45
"Theft of Motor Vehicle Parts or Accessories",40
"Purse-snatching",31
"Assisting or Promoting Prostitution",19
"Credit Card/Automated Teller Machine Fraud",16
"Extortion/Blackmail",15
"Prostitution",15
"Sodomy",13
"Statutory Rape",13
"Pornography/Obscene Material",12
"Theft From Coin-Operated Machine or Device",11
"Sexual Assault With An Object",9
"Bribery",7
"Embezzlement",5
"Incest",4
"Negligent Manslaughter",3
"Welfare Fraud",2
"Betting/Wagering",1
"Human Trafficking, Involuntary Servitude",1
"Identity Theft",1
"Operating/Promoting/Assisting Gambling",1
"Wire Fraud",1
"Aggravated Assault",0
"All Other Offenses",0
"Animal Cruelty",0
"Bad Checks",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"Failure to Register as a Sex Offender",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Liquor Offenses",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Flight to Avoid Prosecution",0
"Gambling Equipment Violation",0
"Hacking/Computer Invasion",0
"Harboring Escapee/Concealing from Arrest",0
"Human Trafficking, Commercial Sex Acts",0
"Illegal Entry into the United States",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Money Laundering",0
"Not Specified",0
"Peeping Tom",0
"Perjury",0
"Purchasing Prostitution",0
"Re-entry after Deportation",0
"Runaway",0
"Smuggling Aliens",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Wildlife Trafficking",0
