key,value
"Residence/Home",116412
"Highway/Road/Alley/Street/Sidewalk",44279
"Parking/Drop Lot/Garage",11630
"Other/Unknown",7199
"Bar/Nightclub",6252
"Hotel/Motel/Etc.",2110
"School/College",2049
"Field/Woods",1995
"Convenience Store",1905
"Jail/Prison/Penitentiary/Corrections Facility",1683
"Restaurant",1607
"School-Elementary/Secondary",1536
"Service/Gas Station",1237
"Drug Store/Doctor's Office/Hospital",1160
"Government/Public Building",1019
"Commercial/Office Building",1015
"Department/Discount Store",867
"Park/Playground",668
"Specialty Store",594
"Grocery/Supermarket",576
"Air/Bus/Train Terminal",332
"Liquor Store",291
"Church/Synagogue/Temple/Mosque",269
"Lake/Waterway/Beach",250
"School-College/University",193
"Rental Storage Facility",146
"Rest Area",126
"Camp/Campground",125
"Bank/Savings and Loan",121
"Construction Site",105
"Shopping Mall",88
"Industrial Site",45
"Daycare Facility",42
"Arena/Stadium/Fairgrounds/Coliseum",36
"Shelter-Mission/Homeless",36
"Auto Dealership New/Used",23
"Farm Facility",22
"Gambling Facility/Casino/Race Track",22
"Tribal Lands",14
"Dock/Wharf/Freight/Modal Terminal",13
"Amusement Park",10
"Abandoned/Condemned Structure",8
"ATM Separate from Bank",2
"Military Installation",1
"Community Center",0
"Cyberspace",0
"Not Specified",0
