key,value
"Residence/Home",158490
"Highway/Road/Alley/Street/Sidewalk",57880
"Parking/Drop Lot/Garage",16025
"Other/Unknown",7597
"Bar/Nightclub",4899
"Hotel/Motel/Etc.",3894
"Convenience Store",3052
"School-Elementary/Secondary",2900
"Restaurant",2849
"Jail/Prison/Penitentiary/Corrections Facility",2797
"Park/Playground",2449
"Service/Gas Station",2206
"Drug Store/Doctor's Office/Hospital",2018
"Field/Woods",1987
"Commercial/Office Building",1970
"Department/Discount Store",1375
"Government/Public Building",1215
"Grocery/Supermarket",1011
"Specialty Store",878
"School/College",838
"Air/Bus/Train Terminal",627
"School-College/University",432
"Church/Synagogue/Temple/Mosque",388
"Liquor Store",346
"Shopping Mall",266
"Lake/Waterway/Beach",260
"Shelter-Mission/Homeless",256
"Camp/Campground",228
"Rental Storage Facility",207
"Construction Site",204
"Community Center",166
"Bank/Savings and Loan",157
"Industrial Site",147
"Daycare Facility",142
"Arena/Stadium/Fairgrounds/Coliseum",137
"Abandoned/Condemned Structure",122
"Gambling Facility/Casino/Race Track",116
"Auto Dealership New/Used",107
"Rest Area",77
"Amusement Park",61
"Farm Facility",61
"Dock/Wharf/Freight/Modal Terminal",46
"Tribal Lands",17
"Military Installation",12
"ATM Separate from Bank",11
"Cyberspace",0
"Not Specified",0
