key,value
"White",281436
"Black or African American",244515
"Not Specified",67339
"Unknown",48053
"American Indian or Alaska Native",9771
"Asian",6024
"Native Hawaiian or Other Pacific Islander",2402
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
