key,value
"Destruction/Damage/Vandalism of Property",44178
"Weapon Law Violations",32537
"Simple Assault",21291
"Drug/Narcotic Violations",9791
"Kidnapping/Abduction",8715
"Burglary/Breaking & Entering",7872
"All Other Larceny",5634
"Intimidation",4180
"Drug Equipment Violations",4075
"Motor Vehicle Theft",2646
"Robbery",2294
"Murder and Nonnegligent Manslaughter",2053
"Stolen Property Offenses",1734
"Shoplifting",1726
"Theft From Motor Vehicle",1318
"Theft From Building",1315
"Criminal Sexual Contact",800
"Arson",668
"False Pretenses/Swindle/Confidence Game",505
"Animal Cruelty",392
"Impersonation",270
"Theft of Motor Vehicle Parts or Accessories",266
"Counterfeiting/Forgery",207
"Rape",172
"Pocket-picking",144
"Pornography/Obscene Material",133
"Credit Card/Automated Teller Machine Fraud",123
"Purse-snatching",123
"Identity Theft",116
"Negligent Manslaughter",89
"Extortion/Blackmail",76
"Statutory Rape",64
"Sodomy",60
"Human Trafficking, Commercial Sex Acts",48
"Assisting or Promoting Prostitution",45
"Bribery",31
"Embezzlement",28
"Sexual Assault With An Object",24
"Prostitution",22
"Human Trafficking, Involuntary Servitude",20
"Incest",13
"Purchasing Prostitution",10
"Wire Fraud",8
"Hacking/Computer Invasion",6
"Theft From Coin-Operated Machine or Device",4
"Flight to Avoid Prosecution",2
"Betting/Wagering",1
"Failure to Register as a Sex Offender",1
"Gambling Equipment Violation",1
"Illegal Entry into the United States",1
"Operating/Promoting/Assisting Gambling",1
"Welfare Fraud",1
"Aggravated Assault",0
"All Other Offenses",0
"Bad Checks",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Liquor Offenses",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Harboring Escapee/Concealing from Arrest",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Money Laundering",0
"Not Specified",0
"Peeping Tom",0
"Perjury",0
"Re-entry after Deportation",0
"Runaway",0
"Smuggling Aliens",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Wildlife Trafficking",0
