key,value
"Residence/Home",141574
"Highway/Road/Alley/Street/Sidewalk",52996
"Parking/Drop Lot/Garage",13588
"Other/Unknown",7186
"Bar/Nightclub",4505
"Hotel/Motel/Etc.",3215
"Convenience Store",2647
"School-Elementary/Secondary",2525
"Jail/Prison/Penitentiary/Corrections Facility",2519
"Restaurant",2398
"Park/Playground",1999
"Service/Gas Station",1783
"Drug Store/Doctor's Office/Hospital",1749
"Field/Woods",1707
"Department/Discount Store",1191
"Commercial/Office Building",1175
"Government/Public Building",1084
"Grocery/Supermarket",792
"School/College",767
"Specialty Store",725
"Air/Bus/Train Terminal",517
"School-College/University",402
"Church/Synagogue/Temple/Mosque",333
"Liquor Store",327
"Shelter-Mission/Homeless",210
"Camp/Campground",207
"Lake/Waterway/Beach",190
"Rental Storage Facility",187
"Shopping Mall",184
"Bank/Savings and Loan",176
"Construction Site",165
"Industrial Site",148
"Community Center",124
"Daycare Facility",114
"Auto Dealership New/Used",110
"Arena/Stadium/Fairgrounds/Coliseum",105
"Rest Area",97
"Abandoned/Condemned Structure",95
"Gambling Facility/Casino/Race Track",72
"Farm Facility",46
"Amusement Park",45
"Dock/Wharf/Freight/Modal Terminal",30
"Tribal Lands",15
"ATM Separate from Bank",9
"Military Installation",7
"Cyberspace",0
"Not Specified",0
