key,value
"Destruction/Damage/Vandalism of Property",14803
"Weapon Law Violations",9497
"Simple Assault",8125
"Drug/Narcotic Violations",3906
"Burglary/Breaking & Entering",3605
"Kidnapping/Abduction",3072
"Drug Equipment Violations",1889
"All Other Larceny",1813
"Intimidation",1390
"Robbery",885
"Motor Vehicle Theft",881
"Shoplifting",697
"Stolen Property Offenses",544
"Murder and Nonnegligent Manslaughter",525
"Theft From Building",508
"Theft From Motor Vehicle",419
"Criminal Sexual Contact",271
"Arson",224
"False Pretenses/Swindle/Confidence Game",169
"Impersonation",118
"Counterfeiting/Forgery",109
"Rape",79
"Pocket-picking",70
"Animal Cruelty",51
"Theft of Motor Vehicle Parts or Accessories",51
"Purse-snatching",43
"Credit Card/Automated Teller Machine Fraud",40
"Extortion/Blackmail",37
"Pornography/Obscene Material",26
"Statutory Rape",25
"Sodomy",20
"Identity Theft",19
"Bribery",17
"Negligent Manslaughter",13
"Prostitution",13
"Assisting or Promoting Prostitution",12
"Embezzlement",9
"Sexual Assault With An Object",8
"Human Trafficking, Commercial Sex Acts",7
"Human Trafficking, Involuntary Servitude",4
"Incest",4
"Theft From Coin-Operated Machine or Device",2
"Betting/Wagering",1
"Purchasing Prostitution",1
"Welfare Fraud",1
"Wire Fraud",1
"Aggravated Assault",0
"All Other Offenses",0
"Bad Checks",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"Failure to Register as a Sex Offender",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Liquor Offenses",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Flight to Avoid Prosecution",0
"Gambling Equipment Violation",0
"Hacking/Computer Invasion",0
"Harboring Escapee/Concealing from Arrest",0
"Illegal Entry into the United States",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Money Laundering",0
"Not Specified",0
"Operating/Promoting/Assisting Gambling",0
"Peeping Tom",0
"Perjury",0
"Re-entry after Deportation",0
"Runaway",0
"Smuggling Aliens",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Wildlife Trafficking",0
