key,value
"Destruction/Damage/Vandalism of Property",11951
"Weapon Law Violations",7587
"Simple Assault",7550
"Burglary/Breaking & Entering",3062
"Drug/Narcotic Violations",3029
"Kidnapping/Abduction",2511
"All Other Larceny",1500
"Drug Equipment Violations",1374
"Intimidation",1227
"Robbery",841
"Motor Vehicle Theft",604
"Shoplifting",572
"Theft From Building",485
"Murder and Nonnegligent Manslaughter",456
"Stolen Property Offenses",374
"Theft From Motor Vehicle",326
"Arson",239
"Criminal Sexual Contact",214
"False Pretenses/Swindle/Confidence Game",133
"Impersonation",106
"Rape",73
"Counterfeiting/Forgery",60
"Pocket-picking",52
"Purse-snatching",39
"Theft of Motor Vehicle Parts or Accessories",34
"Extortion/Blackmail",31
"Credit Card/Automated Teller Machine Fraud",28
"Statutory Rape",28
"Pornography/Obscene Material",20
"Prostitution",19
"Sodomy",17
"Bribery",14
"Negligent Manslaughter",11
"Assisting or Promoting Prostitution",10
"Incest",10
"Embezzlement",6
"Human Trafficking, Commercial Sex Acts",4
"Sexual Assault With An Object",4
"Animal Cruelty",2
"Theft From Coin-Operated Machine or Device",2
"Betting/Wagering",1
"Identity Theft",1
"Wire Fraud",1
"Aggravated Assault",0
"All Other Offenses",0
"Bad Checks",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"Failure to Register as a Sex Offender",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Liquor Offenses",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Flight to Avoid Prosecution",0
"Gambling Equipment Violation",0
"Hacking/Computer Invasion",0
"Harboring Escapee/Concealing from Arrest",0
"Human Trafficking, Involuntary Servitude",0
"Illegal Entry into the United States",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Money Laundering",0
"Not Specified",0
"Operating/Promoting/Assisting Gambling",0
"Peeping Tom",0
"Perjury",0
"Purchasing Prostitution",0
"Re-entry after Deportation",0
"Runaway",0
"Smuggling Aliens",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Welfare Fraud",0
"Wildlife Trafficking",0
