key,value
"Residence/Home",122277
"Highway/Road/Alley/Street/Sidewalk",46495
"Parking/Drop Lot/Garage",11720
"Other/Unknown",6769
"Bar/Nightclub",4817
"Hotel/Motel/Etc.",2764
"Convenience Store",2181
"Jail/Prison/Penitentiary/Corrections Facility",2176
"School-Elementary/Secondary",2071
"Restaurant",1948
"Field/Woods",1600
"Drug Store/Doctor's Office/Hospital",1555
"Park/Playground",1527
"Service/Gas Station",1364
"Commercial/Office Building",1033
"Government/Public Building",1028
"Department/Discount Store",962
"School/College",894
"Grocery/Supermarket",678
"Specialty Store",543
"Air/Bus/Train Terminal",417
"School-College/University",289
"Church/Synagogue/Temple/Mosque",269
"Liquor Store",266
"Lake/Waterway/Beach",214
"Camp/Campground",192
"Shelter-Mission/Homeless",170
"Rental Storage Facility",162
"Construction Site",135
"Shopping Mall",133
"Bank/Savings and Loan",125
"Industrial Site",115
"Rest Area",114
"Auto Dealership New/Used",89
"Arena/Stadium/Fairgrounds/Coliseum",84
"Daycare Facility",78
"Community Center",66
"Abandoned/Condemned Structure",64
"Farm Facility",42
"Gambling Facility/Casino/Race Track",42
"Amusement Park",23
"Dock/Wharf/Freight/Modal Terminal",21
"Tribal Lands",15
"ATM Separate from Bank",8
"Military Installation",7
"Cyberspace",0
"Not Specified",0
