key,value
"Residence/Home",112461
"Highway/Road/Alley/Street/Sidewalk",41897
"Parking/Drop Lot/Garage",10552
"Other/Unknown",6401
"Bar/Nightclub",5332
"Hotel/Motel/Etc.",2213
"Convenience Store",1850
"Field/Woods",1788
"Jail/Prison/Penitentiary/Corrections Facility",1724
"School-Elementary/Secondary",1657
"Restaurant",1641
"School/College",1398
"Service/Gas Station",1172
"Drug Store/Doctor's Office/Hospital",1151
"Park/Playground",1024
"Commercial/Office Building",965
"Government/Public Building",934
"Department/Discount Store",797
"Grocery/Supermarket",539
"Specialty Store",508
"Air/Bus/Train Terminal",338
"Lake/Waterway/Beach",241
"Liquor Store",239
"Church/Synagogue/Temple/Mosque",212
"School-College/University",196
"Rental Storage Facility",144
"Rest Area",140
"Bank/Savings and Loan",116
"Construction Site",115
"Camp/Campground",100
"Shopping Mall",68
"Arena/Stadium/Fairgrounds/Coliseum",64
"Industrial Site",63
"Shelter-Mission/Homeless",57
"Gambling Facility/Casino/Race Track",52
"Auto Dealership New/Used",41
"Daycare Facility",34
"Farm Facility",26
"Community Center",25
"Abandoned/Condemned Structure",22
"Amusement Park",14
"Dock/Wharf/Freight/Modal Terminal",9
"Tribal Lands",8
"ATM Separate from Bank",2
"Military Installation",1
"Cyberspace",0
"Not Specified",0
