key,value
"Destruction/Damage/Vandalism of Property",10421
"Simple Assault",7038
"Weapon Law Violations",6658
"Burglary/Breaking & Entering",3056
"Drug/Narcotic Violations",2543
"Kidnapping/Abduction",2208
"All Other Larceny",1315
"Drug Equipment Violations",1095
"Intimidation",1012
"Robbery",743
"Motor Vehicle Theft",494
"Shoplifting",490
"Theft From Building",443
"Murder and Nonnegligent Manslaughter",311
"Stolen Property Offenses",304
"Theft From Motor Vehicle",249
"Arson",200
"Criminal Sexual Contact",190
"False Pretenses/Swindle/Confidence Game",137
"Impersonation",100
"Rape",64
"Counterfeiting/Forgery",50
"Theft of Motor Vehicle Parts or Accessories",47
"Pocket-picking",37
"Purse-snatching",31
"Credit Card/Automated Teller Machine Fraud",22
"Statutory Rape",20
"Extortion/Blackmail",19
"Prostitution",16
"Sodomy",16
"Pornography/Obscene Material",8
"Assisting or Promoting Prostitution",7
"Incest",6
"Negligent Manslaughter",5
"Sexual Assault With An Object",5
"Bribery",3
"Theft From Coin-Operated Machine or Device",3
"Embezzlement",2
"Wire Fraud",2
"Human Trafficking, Commercial Sex Acts",1
"Human Trafficking, Involuntary Servitude",1
"Welfare Fraud",1
"Aggravated Assault",0
"All Other Offenses",0
"Animal Cruelty",0
"Bad Checks",0
"Betting/Wagering",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"Failure to Register as a Sex Offender",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Liquor Offenses",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Flight to Avoid Prosecution",0
"Gambling Equipment Violation",0
"Hacking/Computer Invasion",0
"Harboring Escapee/Concealing from Arrest",0
"Identity Theft",0
"Illegal Entry into the United States",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Money Laundering",0
"Not Specified",0
"Operating/Promoting/Assisting Gambling",0
"Peeping Tom",0
"Perjury",0
"Purchasing Prostitution",0
"Re-entry after Deportation",0
"Runaway",0
"Smuggling Aliens",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Wildlife Trafficking",0
