key,value
"Destruction/Damage/Vandalism of Property",42861
"Weapon Law Violations",28089
"Simple Assault",19586
"Drug/Narcotic Violations",9539
"Burglary/Breaking & Entering",7810
"Kidnapping/Abduction",7714
"All Other Larceny",5205
"Drug Equipment Violations",3937
"Intimidation",3919
"Motor Vehicle Theft",2520
"Murder and Nonnegligent Manslaughter",2057
"Robbery",1880
"Stolen Property Offenses",1408
"Shoplifting",1365
"Theft From Motor Vehicle",1335
"Theft From Building",1287
"Criminal Sexual Contact",702
"Arson",634
"False Pretenses/Swindle/Confidence Game",384
"Animal Cruelty",316
"Impersonation",252
"Theft of Motor Vehicle Parts or Accessories",236
"Counterfeiting/Forgery",185
"Rape",149
"Purse-snatching",128
"Identity Theft",113
"Credit Card/Automated Teller Machine Fraud",108
"Pornography/Obscene Material",104
"Pocket-picking",100
"Extortion/Blackmail",77
"Negligent Manslaughter",71
"Statutory Rape",56
"Sodomy",37
"Embezzlement",32
"Bribery",31
"Human Trafficking, Commercial Sex Acts",31
"Prostitution",26
"Assisting or Promoting Prostitution",23
"Sexual Assault With An Object",14
"Wire Fraud",12
"Purchasing Prostitution",11
"Incest",9
"Hacking/Computer Invasion",7
"Human Trafficking, Involuntary Servitude",5
"Theft From Coin-Operated Machine or Device",4
"Betting/Wagering",1
"Failure to Register as a Sex Offender",1
"Smuggling Aliens",1
"Welfare Fraud",1
"Aggravated Assault",0
"All Other Offenses",0
"Bad Checks",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Liquor Offenses",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Flight to Avoid Prosecution",0
"Gambling Equipment Violation",0
"Harboring Escapee/Concealing from Arrest",0
"Illegal Entry into the United States",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Money Laundering",0
"Not Specified",0
"Operating/Promoting/Assisting Gambling",0
"Peeping Tom",0
"Perjury",0
"Re-entry after Deportation",0
"Runaway",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Wildlife Trafficking",0
