key,value
"White",348204
"Black or African American",264549
"Unknown",21543
"American Indian or Alaska Native",10452
"Asian",7445
"Native Hawaiian or Other Pacific Islander",2260
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
