key,value
"Residence/Home",352423
"Highway/Road/Alley/Street/Sidewalk",143060
"Parking/Drop Lot/Garage",39383
"Other/Unknown",19778
"Hotel/Motel/Etc.",13072
"Bar/Nightclub",9523
"Convenience Store",8841
"Restaurant",7325
"Service/Gas Station",7247
"Park/Playground",6444
"Jail/Prison/Penitentiary/Corrections Facility",6171
"Commercial/Office Building",4847
"Drug Store/Doctor's Office/Hospital",4606
"School-Elementary/Secondary",4495
"Field/Woods",3410
"Department/Discount Store",2995
"Specialty Store",2791
"Grocery/Supermarket",2524
"Government/Public Building",2182
"Air/Bus/Train Terminal",1829
"School/College",935
"Liquor Store",846
"School-College/University",774
"Shelter-Mission/Homeless",759
"Shopping Mall",740
"Camp/Campground",737
"Church/Synagogue/Temple/Mosque",711
"Tribal Lands",675
"Rental Storage Facility",604
"Gambling Facility/Casino/Race Track",561
"Construction Site",560
"Lake/Waterway/Beach",527
"Industrial Site",415
"Arena/Stadium/Fairgrounds/Coliseum",357
"Community Center",351
"Auto Dealership New/Used",328
"Daycare Facility",313
"Bank/Savings and Loan",298
"Rest Area",209
"Amusement Park",202
"Abandoned/Condemned Structure",198
"Dock/Wharf/Freight/Modal Terminal",182
"Farm Facility",133
"ATM Separate from Bank",60
"Military Installation",32
"Cyberspace",0
"Not Specified",0
