key,value
"Residence/Home",276238
"Highway/Road/Alley/Street/Sidewalk",99797
"Parking/Drop Lot/Garage",28531
"Other/Unknown",10790
"Hotel/Motel/Etc.",9261
"Convenience Store",6360
"Bar/Nightclub",5041
"Service/Gas Station",4786
"Restaurant",4747
"Park/Playground",4356
"Jail/Prison/Penitentiary/Corrections Facility",3504
"Commercial/Office Building",3436
"Drug Store/Doctor's Office/Hospital",3105
"Field/Woods",2949
"Department/Discount Store",2058
"Grocery/Supermarket",1810
"School-Elementary/Secondary",1696
"Government/Public Building",1612
"Specialty Store",1526
"Air/Bus/Train Terminal",1062
"Liquor Store",590
"Church/Synagogue/Temple/Mosque",537
"Lake/Waterway/Beach",490
"Camp/Campground",483
"School/College",482
"Shopping Mall",465
"Shelter-Mission/Homeless",457
"Rental Storage Facility",453
"Construction Site",332
"School-College/University",324
"Bank/Savings and Loan",275
"Gambling Facility/Casino/Race Track",275
"Auto Dealership New/Used",242
"Industrial Site",235
"Rest Area",210
"Community Center",186
"Abandoned/Condemned Structure",185
"Daycare Facility",161
"Farm Facility",106
"Arena/Stadium/Fairgrounds/Coliseum",103
"Dock/Wharf/Freight/Modal Terminal",69
"Amusement Park",58
"Tribal Lands",53
"ATM Separate from Bank",39
"Military Installation",14
"Cyberspace",0
"Not Specified",0
