key,value
"White",192191
"Black or African American",171687
"Not Specified",36091
"Unknown",34526
"American Indian or Alaska Native",5508
"Asian",3272
"Native Hawaiian or Other Pacific Islander",1234
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
