key,value
"Destruction/Damage/Vandalism of Property",31623
"Weapon Law Violations",19299
"Simple Assault",14353
"Drug/Narcotic Violations",7385
"Burglary/Breaking & Entering",6083
"Kidnapping/Abduction",5852
"All Other Larceny",3883
"Drug Equipment Violations",3143
"Intimidation",2788
"Motor Vehicle Theft",1787
"Robbery",1515
"Murder and Nonnegligent Manslaughter",1484
"Stolen Property Offenses",1150
"Shoplifting",1077
"Theft From Building",988
"Theft From Motor Vehicle",931
"Arson",488
"Criminal Sexual Contact",478
"False Pretenses/Swindle/Confidence Game",331
"Animal Cruelty",205
"Impersonation",160
"Counterfeiting/Forgery",155
"Rape",125
"Theft of Motor Vehicle Parts or Accessories",103
"Pocket-picking",90
"Credit Card/Automated Teller Machine Fraud",85
"Identity Theft",82
"Purse-snatching",81
"Pornography/Obscene Material",65
"Extortion/Blackmail",54
"Bribery",47
"Negligent Manslaughter",46
"Statutory Rape",38
"Human Trafficking, Commercial Sex Acts",35
"Assisting or Promoting Prostitution",28
"Sodomy",27
"Prostitution",26
"Embezzlement",21
"Sexual Assault With An Object",18
"Human Trafficking, Involuntary Servitude",9
"Purchasing Prostitution",6
"Wire Fraud",5
"Theft From Coin-Operated Machine or Device",4
"Hacking/Computer Invasion",3
"Incest",3
"Welfare Fraud",3
"Operating/Promoting/Assisting Gambling",1
"Aggravated Assault",0
"All Other Offenses",0
"Bad Checks",0
"Betting/Wagering",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"Failure to Register as a Sex Offender",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Liquor Offenses",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Flight to Avoid Prosecution",0
"Gambling Equipment Violation",0
"Harboring Escapee/Concealing from Arrest",0
"Illegal Entry into the United States",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Money Laundering",0
"Not Specified",0
"Peeping Tom",0
"Perjury",0
"Re-entry after Deportation",0
"Runaway",0
"Smuggling Aliens",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Wildlife Trafficking",0
