key,value
"White",302364
"Black or African American",268344
"Unknown",66056
"Not Specified",65959
"American Indian or Alaska Native",10067
"Asian",9112
"Native Hawaiian or Other Pacific Islander",2261
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
