key,value
"Residence/Home",408247
"Highway/Road/Alley/Street/Sidewalk",163639
"Parking/Drop Lot/Garage",44279
"Other/Unknown",22103
"Hotel/Motel/Etc.",11603
"Bar/Nightclub",11299
"School-Elementary/Secondary",9702
"Restaurant",9300
"Convenience Store",9161
"Park/Playground",8994
"Service/Gas Station",8058
"Jail/Prison/Penitentiary/Corrections Facility",8018
"Drug Store/Doctor's Office/Hospital",6268
"Commercial/Office Building",5392
"Grocery/Supermarket",4287
"Field/Woods",3920
"Department/Discount Store",3570
"Specialty Store",3437
"Air/Bus/Train Terminal",3063
"Government/Public Building",2854
"Shelter-Mission/Homeless",2032
"Shopping Mall",1486
"School-College/University",1447
"School/College",1154
"Construction Site",997
"Church/Synagogue/Temple/Mosque",992
"Camp/Campground",986
"Liquor Store",979
"Rental Storage Facility",723
"Lake/Waterway/Beach",711
"Tribal Lands",622
"Community Center",580
"Gambling Facility/Casino/Race Track",578
"Arena/Stadium/Fairgrounds/Coliseum",464
"Industrial Site",455
"Bank/Savings and Loan",418
"Daycare Facility",373
"Auto Dealership New/Used",336
"Abandoned/Condemned Structure",320
"Amusement Park",307
"Dock/Wharf/Freight/Modal Terminal",277
"Rest Area",238
"Farm Facility",175
"Military Installation",64
"ATM Separate from Bank",60
"Cyberspace",0
"Not Specified",0
