key,value
"White",407974
"Black or African American",288717
"Unknown",40759
"Asian",13392
"American Indian or Alaska Native",10876
"Native Hawaiian or Other Pacific Islander",2250
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
