key,value
"Residence/Home",109160
"Highway/Road/Alley/Street/Sidewalk",42361
"Parking/Drop Lot/Garage",11377
"Other/Unknown",7501
"Bar/Nightclub",6415
"School/College",2682
"Hotel/Motel/Etc.",1982
"Field/Woods",1883
"Convenience Store",1771
"Jail/Prison/Penitentiary/Corrections Facility",1584
"Restaurant",1535
"Shopping Mall",1411
"School-Elementary/Secondary",1226
"Service/Gas Station",1204
"Drug Store/Doctor's Office/Hospital",1065
"Government/Public Building",967
"Commercial/Office Building",930
"Department/Discount Store",741
"Specialty Store",511
"Grocery/Supermarket",507
"Air/Bus/Train Terminal",329
"Park/Playground",301
"Liquor Store",264
"Lake/Waterway/Beach",244
"Church/Synagogue/Temple/Mosque",221
"Rest Area",174
"Rental Storage Facility",130
"Bank/Savings and Loan",119
"School-College/University",96
"Camp/Campground",91
"Construction Site",87
"Gambling Facility/Casino/Race Track",25
"Arena/Stadium/Fairgrounds/Coliseum",23
"Industrial Site",23
"Daycare Facility",18
"Shelter-Mission/Homeless",18
"Auto Dealership New/Used",13
"Farm Facility",7
"Abandoned/Condemned Structure",4
"Amusement Park",4
"Dock/Wharf/Freight/Modal Terminal",3
"Tribal Lands",2
"ATM Separate from Bank",1
"Community Center",0
"Cyberspace",0
"Military Installation",0
"Not Specified",0
