key,value
"White",104054
"Black or African American",83937
"Unknown",10922
"Not Specified",9818
"American Indian or Alaska Native",1837
"Asian",1408
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Native Hawaiian or Other Pacific Islander",0
