key,value
"Destruction/Damage/Vandalism of Property",10310
"Simple Assault",6801
"Weapon Law Violations",5136
"Burglary/Breaking & Entering",3018
"Drug/Narcotic Violations",2243
"Kidnapping/Abduction",1842
"All Other Larceny",1250
"Intimidation",1019
"Drug Equipment Violations",852
"Robbery",770
"Shoplifting",463
"Motor Vehicle Theft",435
"Murder and Nonnegligent Manslaughter",338
"Theft From Building",325
"Stolen Property Offenses",250
"Theft From Motor Vehicle",242
"Arson",193
"Criminal Sexual Contact",177
"False Pretenses/Swindle/Confidence Game",121
"Impersonation",90
"Counterfeiting/Forgery",65
"Theft of Motor Vehicle Parts or Accessories",60
"Rape",56
"Pocket-picking",44
"Purse-snatching",26
"Credit Card/Automated Teller Machine Fraud",22
"Extortion/Blackmail",21
"Statutory Rape",19
"Prostitution",15
"Sodomy",12
"Assisting or Promoting Prostitution",9
"Theft From Coin-Operated Machine or Device",8
"Bribery",6
"Embezzlement",6
"Pornography/Obscene Material",6
"Incest",3
"Sexual Assault With An Object",3
"Betting/Wagering",2
"Negligent Manslaughter",2
"Operating/Promoting/Assisting Gambling",2
"Wire Fraud",1
"Aggravated Assault",0
"All Other Offenses",0
"Animal Cruelty",0
"Bad Checks",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"Failure to Register as a Sex Offender",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Liquor Offenses",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Flight to Avoid Prosecution",0
"Gambling Equipment Violation",0
"Hacking/Computer Invasion",0
"Harboring Escapee/Concealing from Arrest",0
"Human Trafficking, Commercial Sex Acts",0
"Human Trafficking, Involuntary Servitude",0
"Identity Theft",0
"Illegal Entry into the United States",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Money Laundering",0
"Not Specified",0
"Peeping Tom",0
"Perjury",0
"Purchasing Prostitution",0
"Re-entry after Deportation",0
"Runaway",0
"Smuggling Aliens",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Welfare Fraud",0
"Wildlife Trafficking",0
