key,value
"Residence/Home",110022
"Highway/Road/Alley/Street/Sidewalk",44612
"Parking/Drop Lot/Garage",11832
"Other/Unknown",9860
"Bar/Nightclub",6642
"School/College",3720
"Field/Woods",1951
"Convenience Store",1758
"Jail/Prison/Penitentiary/Corrections Facility",1624
"Hotel/Motel/Etc.",1620
"Restaurant",1598
"Service/Gas Station",1163
"Drug Store/Doctor's Office/Hospital",1120
"Commercial/Office Building",986
"Government/Public Building",929
"Department/Discount Store",865
"Grocery/Supermarket",582
"Specialty Store",577
"School-Elementary/Secondary",569
"Air/Bus/Train Terminal",312
"Liquor Store",271
"Church/Synagogue/Temple/Mosque",261
"Lake/Waterway/Beach",217
"Bank/Savings and Loan",141
"Rental Storage Facility",134
"Shopping Mall",121
"Construction Site",77
"Rest Area",63
"Park/Playground",53
"School-College/University",34
"Camp/Campground",29
"Daycare Facility",7
"Gambling Facility/Casino/Race Track",7
"Auto Dealership New/Used",4
"Industrial Site",3
"Abandoned/Condemned Structure",2
"Farm Facility",2
"Amusement Park",1
"Arena/Stadium/Fairgrounds/Coliseum",1
"Community Center",1
"ATM Separate from Bank",0
"Cyberspace",0
"Dock/Wharf/Freight/Modal Terminal",0
"Military Installation",0
"Not Specified",0
"Shelter-Mission/Homeless",0
"Tribal Lands",0
