key,value
"Destruction/Damage/Vandalism of Property",21905
"Weapon Law Violations",12246
"Simple Assault",11068
"Drug/Narcotic Violations",5183
"Kidnapping/Abduction",4701
"Burglary/Breaking & Entering",4411
"All Other Larceny",2650
"Drug Equipment Violations",2308
"Intimidation",2132
"Motor Vehicle Theft",1234
"Robbery",1118
"Shoplifting",850
"Murder and Nonnegligent Manslaughter",796
"Stolen Property Offenses",749
"Theft From Building",731
"Theft From Motor Vehicle",593
"Criminal Sexual Contact",403
"Arson",328
"False Pretenses/Swindle/Confidence Game",273
"Impersonation",153
"Counterfeiting/Forgery",134
"Animal Cruelty",113
"Rape",113
"Purse-snatching",76
"Credit Card/Automated Teller Machine Fraud",67
"Theft of Motor Vehicle Parts or Accessories",62
"Pocket-picking",55
"Identity Theft",48
"Pornography/Obscene Material",48
"Extortion/Blackmail",29
"Negligent Manslaughter",29
"Statutory Rape",25
"Bribery",23
"Sodomy",23
"Assisting or Promoting Prostitution",22
"Human Trafficking, Commercial Sex Acts",21
"Prostitution",19
"Sexual Assault With An Object",12
"Embezzlement",11
"Human Trafficking, Involuntary Servitude",10
"Incest",5
"Purchasing Prostitution",5
"Welfare Fraud",5
"Theft From Coin-Operated Machine or Device",4
"Hacking/Computer Invasion",3
"Money Laundering",2
"Operating/Promoting/Assisting Gambling",2
"Betting/Wagering",1
"Wire Fraud",1
"Aggravated Assault",0
"All Other Offenses",0
"Bad Checks",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"Failure to Register as a Sex Offender",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Liquor Offenses",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Flight to Avoid Prosecution",0
"Gambling Equipment Violation",0
"Harboring Escapee/Concealing from Arrest",0
"Illegal Entry into the United States",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Not Specified",0
"Peeping Tom",0
"Perjury",0
"Re-entry after Deportation",0
"Runaway",0
"Smuggling Aliens",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Wildlife Trafficking",0
