key,value
"Residence/Home",199645
"Highway/Road/Alley/Street/Sidewalk",71074
"Parking/Drop Lot/Garage",19981
"Other/Unknown",8894
"Bar/Nightclub",5783
"Hotel/Motel/Etc.",5004
"Convenience Store",3965
"School-Elementary/Secondary",3851
"Restaurant",3756
"Service/Gas Station",3368
"Jail/Prison/Penitentiary/Corrections Facility",3349
"Park/Playground",3185
"Commercial/Office Building",2585
"Drug Store/Doctor's Office/Hospital",2440
"Field/Woods",2346
"Department/Discount Store",1556
"Government/Public Building",1385
"Grocery/Supermarket",1150
"Specialty Store",1060
"School/College",924
"Air/Bus/Train Terminal",881
"School-College/University",535
"Church/Synagogue/Temple/Mosque",512
"Shelter-Mission/Homeless",418
"Liquor Store",393
"Shopping Mall",349
"Rental Storage Facility",336
"Camp/Campground",325
"Lake/Waterway/Beach",278
"Construction Site",265
"Community Center",251
"Industrial Site",203
"Daycare Facility",196
"Bank/Savings and Loan",191
"Rest Area",175
"Gambling Facility/Casino/Race Track",152
"Arena/Stadium/Fairgrounds/Coliseum",148
"Auto Dealership New/Used",146
"Abandoned/Condemned Structure",140
"Farm Facility",64
"Amusement Park",60
"Dock/Wharf/Freight/Modal Terminal",58
"Tribal Lands",27
"ATM Separate from Bank",19
"Military Installation",4
"Cyberspace",0
"Not Specified",0
